X,Y,OBJECTID,cdsCode,schoolID,district,name,addr,city,zip,openDate,charter,docType,socType,gsOffered,shrtName,priv
-117.116646189833,33.0052288782194,243,37682960102822,251,Poway Unified,Stone Ranch Elementary,16150 4S Ranch Parkway,San Diego,92127,2004/08/26 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Stone Ranch,N
-117.109749585262,33.0000813494204,244,37682960108332,252,Poway Unified,Oak Valley Middle,16055 Winecreek Road,San Diego,92127,2005/08/25 00:00:00+00,N,Unified School District,Intermediate/Middle Schools (Public),6-8,Oak Valley Mid,N
-117.219056893785,32.7332570002931,245,37683380106732,253,San Diego Unified,High Tech High International,2855 Farragut Road,San Diego,92106,2004/09/07 00:00:00+00,Y,Unified School District,High Schools (Public),9-12,HTHI,N
-117.188889234867,32.9591664072106,246,37683460106328,254,San Dieguito Union High,Canyon Crest Academy,5951 Village Center Loop Road,San Diego,92130,2004/08/30 00:00:00+00,N,High School District,High Schools (Public),9-12,Canyon Crest,N
-117.231061008399,32.9516357096244,247,37683870105825,255,Solana Beach Elementary,Solana Pacific Elementary,3901 Townsgate Drive,San Diego,92130,2004/08/09 00:00:00+00,N,Elementary School District,Elementary Schools (Public),4-6,Solana Pacific,N
-116.956100765858,32.7987502767122,248,37679916037584,256,Cajon Valley Union,Cajon Valley Middle,550 Park Avenue,El Cajon,92020,1980/07/01 00:00:00+00,N,Elementary School District,Intermediate/Middle Schools (Public),6-8,Cajon Valley Mid,N
-116.92093059701,32.7971614575611,249,37679916093207,257,Cajon Valley Union,Montgomery Middle,1570 Melody Lane,El Cajon,92019,1980/07/01 00:00:00+00,N,Elementary School District,Intermediate/Middle Schools (Public),6-8,Montgomery Mid,N
-117.068880992982,32.7964062700594,250,37683386039960,258,San Diego Unified,Marvin Elementary,5720 Brunswick Avenue,San Diego,92120,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Marvin,N
-117.142109665591,32.7961532268471,251,37683386039796,259,San Diego Unified,Jones Elementary,2751 Greyling Drive,San Diego,92123,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Jones,N
-117.238729463136,32.793476502914,252,37683386039424,260,San Diego Unified,Crown Point Elementary,4033 Ingraham Street,San Diego,92109,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Crown Point,N
-117.16216572167,32.7936087070901,253,37683386039374,261,San Diego Unified,Chesterton Elementary,7335 Wheatley Street,San Diego,92111,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Chesterton,N
-117.17346883252,32.7928047190681,254,37683386039879,262,San Diego Unified,Linda Vista Elementary,2772 Ulric Street,San Diego,92111,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Linda Vista,N
-117.084615957037,32.792034089198,255,37683386039598,263,San Diego Unified,Foster Elementary,6550 51st Street,San Diego,92120,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Foster,N
-117.203562581677,32.7876061954104,256,37683386039200,264,San Diego Unified,Bay Park Elementary,2433 Denver Street,San Diego,92110,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Bay Park,N
-116.926577707486,32.7886718377991,257,37679916037717,265,Cajon Valley Union,Meridian Elementary,651 South Third Street,El Cajon,92019,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-5,Meridian,N
-117.22601473174,32.7400478441502,258,37683383735750,266,San Diego Unified,Point Loma High,2335 Chatsworth Boulevard,San Diego,92106,1980/07/01 00:00:00+00,N,Unified School District,High Schools (Public),9-12,Point Loma,N
-117.070780443885,32.7397803524885,259,37683386039358,267,San Diego Unified,Carver Elementary,3251 Juanita Street,San Diego,92105,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Carver,N
-116.911742607759,32.7393781858059,260,37679916110787,268,Cajon Valley Union,Jamacha Elementary,2962 Jamul Drive,El Cajon,92019,1992/09/08 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-5,Jamacha,N
-117.099428332168,32.7356992240406,261,37683386039705,269,San Diego Unified,Hamilton Elementary,2807 Fairmount Avenue,San Diego,92105,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Hamilton,N
-117.233874438862,32.7206097938543,262,37683386039291,270,San Diego Unified,Cabrillo Elementary,3120 Talbot Street,San Diego,92106,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-4,Cabrillo,N
-117.075016681958,32.7197339985061,263,37683386039788,271,San Diego Unified,Johnson Elementary,1355 Kelton Road,San Diego,92114,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Johnson SD,N
-117.149063367067,32.7187398821392,264,37683383737962,272,San Diego Unified,Garfield High,1255 16th Street,San Diego,92101,1980/07/01 00:00:00+00,N,Unified School District,Continuation High Schools,9-12,Garfield,N
